trade_date,open,high,low,close,vol,amount
2002-01-31 00:00:00,1316.46,1316.46,1108.61,1221.76,0,0
2002-02-28 00:00:00,1215.74,1256,1215.74,1244.6,0,0
2002-03-29 00:00:00,1227.23,1385.79,1227.23,1313.47,0,0
2002-04-30 00:00:00,1317.58,1366.72,1296.57,1353.61,0,0
2002-05-31 00:00:00,1342.29,1344.78,1238.58,1238.58,0,0
2002-06-28 00:00:00,1213.39,1431.18,1196.62,1431.18,0,0
2002-07-31 00:00:00,1415.33,1427.39,1358.16,1358.16,0,0
2002-08-30 00:00:00,1355.3,1381.55,1340.22,1361.3,0,0
2002-09-27 00:00:00,1362.15,1366.71,1285.65,1285.65,0,0
2002-10-31 00:00:00,1272.94,1272.94,1219.43,1225.34,0,0
2002-11-29 00:00:00,1227.85,1265.73,1111.05,1164.62,0,0
2002-12-31 00:00:00,1132.93,1159.43,1103.64,1103.64,0,0
2003-01-29 00:00:00,1074.98,1207.6,1073.52,1207.6,0,0
2003-02-28 00:00:00,1190.46,1216.58,1190.46,1213.86,0,0
2003-03-31 00:00:00,1223.41,1223.41,1171.2,1215.17,0,0
2003-04-30 00:00:00,1223.56,1317.29,1205.38,1239.95,0,0
2003-05-30 00:00:00,1251.31,1300.87,1216.43,1300.87,0,0
2003-06-30 00:00:00,1300.49,1300.49,1214.55,1214.55,0,0
2003-07-31 00:00:00,1215.2,1269.4,1213.15,1222.74,0,0
2003-08-29 00:00:00,1226.24,1240.07,1169.38,1178.57,0,0
2003-09-30 00:00:00,1199.81,1199.81,1116.55,1127.14,0,0
2003-10-31 00:00:00,1131.27,1155.42,1110.8,1111.62,0,0
2003-11-28 00:00:00,1123.48,1155.27,1081,1142.98,0,0
2003-12-31 00:00:00,1168.51,1212.33,1163.64,1194.74,0,0
2004-01-30 00:00:00,1204.61,1311.95,1204.61,1281.33,0,0
2004-02-27 00:00:00,1307.27,1391.36,1307.27,1351.61,0,0
2004-03-31 00:00:00,1366.91,1399.55,1314.17,1384.95,0,0
2004-04-30 00:00:00,1396.63,1410.43,1233.6,1239.72,0,0
2004-05-31 00:00:00,1206.59,1240.02,1177.71,1206.84,0,0
2004-06-30 00:00:00,1224.11,1224.11,1069.51,1078.49,0,0
2004-07-30 00:00:00,1112.39,1134.5,1083.18,1088.68,0,0
2004-08-31 00:00:00,1080.55,1103.55,1038.34,1055.97,0,0
2004-09-30 00:00:00,1040.06,1157.93,993.26,1109.32,0,0
2004-10-29 00:00:00,1131.92,1131.92,1049.19,1050.3,0,0
2004-11-30 00:00:00,1038.43,1094.35,1032.72,1062.81,0,0
2004-12-31 00:00:00,1058.15,1060.25,1000,1000,0,0
2005-01-31 00:00:00,994.77,1006.46,943.44,954.88,15259936500,91007761191
2005-02-28 00:00:00,953.33,1059.48,952.74,1039.99,17878439500,1.08736E+11
2005-03-31 00:00:00,1039.35,1054.64,928.34,942.2,23759256400,1.53977E+11
2005-04-29 00:00:00,941.43,1008.74,914.83,932.4,25952512700,1.61126E+11
2005-05-31 00:00:00,934.65,937.39,842.1,855.95,14190800200,77564121441
2005-06-30 00:00:00,855.21,925.37,807.78,878.69,31258565700,1.68157E+11
2005-07-29 00:00:00,875.94,901,818.86,888.16,24107629116,1.17224E+11
2005-08-31 00:00:00,887.72,959.34,885.85,927.92,44592117325,2.18259E+11
2005-09-30 00:00:00,928.52,971.99,901.38,917.39,34809725537,1.7071E+11
2005-10-31 00:00:00,917.21,926.09,859.69,876.28,17192874605,87185076506
2005-11-30 00:00:00,875.96,886.74,847.49,873.83,22922599436,1.04333E+11
2005-12-30 00:00:00,873.47,934,855.72,923.45,25553833326,1.22091E+11
2006-01-25 00:00:00,926.56,1009.65,926.41,1009.6,37480599100,1.94034E+11
2006-02-28 00:00:00,1013.43,1057.22,1012.81,1053.01,39309338700,2.06883E+11
2006-03-31 00:00:00,1051.76,1074.04,999.93,1061.09,42043738700,2.22195E+11
2006-04-28 00:00:00,1061.96,1173.88,1061.96,1172.35,70607151800,3.93465E+11
2006-05-31 00:00:00,1179.58,1387.57,1179.58,1365.45,98814368900,5.98372E+11
2006-06-30 00:00:00,1364.18,1413.11,1269.52,1393.96,79321670100,4.60788E+11
2006-07-31 00:00:00,1398.74,1430.94,1293.53,1294.33,59478067000,3.84092E+11
2006-08-31 00:00:00,1292.71,1349.2,1221.99,1338.69,40774469400,2.46394E+11
2006-09-29 00:00:00,1339.31,1405.56,1314.57,1403.27,52124286200,3.12988E+11
2006-10-31 00:00:00,1420.36,1464.48,1403.01,1464.47,53831268000,3.21847E+11
2006-11-30 00:00:00,1465.67,1714.49,1453.26,1714.36,1.00115E+11,6.32367E+11
2006-12-29 00:00:00,1719.28,2052.86,1705.91,2041.05,1.27762E+11,8.91822E+11
2007-01-31 00:00:00,2073.25,2599.45,2030.76,2385.34,1.69223E+11,1.46025E+12
2007-02-28 00:00:00,2350.6,2719.52,2198.9,2544.57,1.00926E+11,9.37197E+11
2007-03-30 00:00:00,2550.26,2830.08,2409.72,2781.78,1.57869E+11,1.56757E+12
2007-04-30 00:00:00,2793.96,3568.68,2793.96,3558.71,1.94524E+11,2.4427E+12
2007-05-31 00:00:00,3643.81,4168.53,3556.62,3927.95,1.89738E+11,2.83175E+12
2007-06-29 00:00:00,3953.1,4292.2,3246.73,3764.08,1.78822E+11,2.74671E+12
2007-07-31 00:00:00,3746.18,4467.65,3475.27,4460.56,1.12414E+11,1.70656E+12
2007-08-31 00:00:00,4479.3,5307.42,4271.06,5296.81,1.67687E+11,2.95223E+12
2007-09-28 00:00:00,5335.05,5590.85,5059.46,5580.81,1.22923E+11,2.37871E+12
2007-10-31 00:00:00,5703.28,5891.72,5266.37,5688.54,93242640300,1.954E+12
2007-11-30 00:00:00,5701.49,5702.21,4619.51,4737.41,68274904500,1.39121E+12
2007-12-28 00:00:00,4714.92,5391.67,4689.52,5338.28,70740750600,1.42302E+12
2008-01-31 00:00:00,5349.76,5756.92,4606.14,4620.4,1.11357E+11,2.41608E+12
2008-02-29 00:00:00,4623.62,5062.26,4394.59,4674.55,49736789900,1.0119E+12
2008-03-31 00:00:00,4648.74,4836.66,3658.04,3790.53,72907582300,1.3589E+12
2008-04-30 00:00:00,3776.27,3970.58,3122.39,3959.12,90061639700,1.48435E+12
2008-05-30 00:00:00,4015.21,4075.58,3533.47,3611.33,83916786000,1.4159E+12
2008-06-30 00:00:00,3600.23,3650.48,2691.87,2791.82,64993639700,8.48355E+11
2008-07-31 00:00:00,2799.2,3056.91,2617.26,2805.21,96173085700,1.17027E+12
2008-08-29 00:00:00,2786.12,2868.68,2273.89,2391.64,56088120500,5.87821E+11
2008-09-26 00:00:00,2372.64,2372.64,1804.77,2243.66,71735122700,6.60687E+11
2008-10-31 00:00:00,2206.56,2206.56,1607.67,1663.66,76285313100,6.45105E+11
2008-11-28 00:00:00,1648.56,1994.82,1606.73,1829.92,1.21673E+11,9.5108E+11
2008-12-31 00:00:00,1823.77,2107.6,1799.84,1817.72,1.43586E+11,1.1732E+12
2009-01-23 00:00:00,1848.33,2054.33,1837.84,2032.68,93422571800,8.07716E+11
2009-02-27 00:00:00,2052.44,2470.62,2029.72,2140.49,2.23529E+11,2.12809E+12
2009-03-31 00:00:00,2123.37,2516.38,2100.64,2507.79,1.99415E+11,2.03864E+12
2009-04-30 00:00:00,2519.89,2713.31,2457.42,2622.93,2.12607E+11,2.33465E+12
2009-05-27 00:00:00,2635.13,2849.64,2632.3,2759.71,1.6305E+11,1.87671E+12
2009-06-30 00:00:00,2798.93,3195.72,2798.93,3166.47,2.09525E+11,2.54341E+12
2009-07-31 00:00:00,3153.54,3765.59,3150.65,3734.62,2.83651E+11,3.86949E+12
2009-08-31 00:00:00,3754.22,3803.06,2825.77,2830.27,1.97226E+11,2.74395E+12
2009-09-30 00:00:00,2804.58,3330.43,2795.49,3004.81,1.62453E+11,2.18123E+12
2009-10-30 00:00:00,3078.75,3436.39,3071.27,3280.37,1.08918E+11,1.52825E+12
2009-11-30 00:00:00,3205.84,3698.13,3198.31,3511.67,1.98804E+11,2.72469E+12
2009-12-31 00:00:00,3507.56,3672.8,3296.29,3575.68,1.64803E+11,2.32279E+12
2010-01-29 00:00:00,3592.47,3597.75,3168.46,3204.16,1.50191E+11,2.13804E+12
2010-02-26 00:00:00,3198.23,3301.15,3094.57,3281.67,71809718300,9.52416E+11
2010-03-31 00:00:00,3290.01,3372.27,3169.1,3345.61,1.15749E+11,1.53513E+12
2010-04-30 00:00:00,3349.88,3436.29,3014.07,3067.37,1.30923E+11,1.85845E+12
2010-05-31 00:00:00,3005.49,3056.08,2647.6,2773.26,1.04966E+11,1.3109E+12
2010-06-30 00:00:00,2755.28,2795.32,2546.84,2563.07,75156706000,8.72463E+11
2010-07-30 00:00:00,2557.92,2888.6,2462.2,2868.85,1.16706E+11,1.22093E+12
2010-08-31 00:00:00,2868.28,2975.19,2799.22,2903.19,1.46488E+11,1.62528E+12
2010-09-30 00:00:00,2907.66,2991.44,2829.76,2935.57,1.25562E+11,1.54906E+12
2010-10-29 00:00:00,2965.65,3499.82,2963.24,3379.98,2.26946E+11,3.0796E+12
2010-11-30 00:00:00,3390.41,3557.99,3060.44,3136.99,2.30228E+11,3.29166E+12
2010-12-31 00:00:00,3127.26,3282.77,3025.22,3128.26,1.4412E+11,2.01265E+12
2011-01-31 00:00:00,3155.56,3209.9,2919.16,3076.51,1.26575E+11,1.64153E+12
2011-02-28 00:00:00,3083.49,3269.05,3024.35,3239.56,1.2027E+11,1.63671E+12
2011-03-31 00:00:00,3241.71,3355.49,3147.96,3223.29,1.84527E+11,2.57897E+12
2011-04-29 00:00:00,3227.56,3380.53,3147.14,3192.72,1.48755E+11,1.90768E+12
2011-05-31 00:00:00,3192.85,3212.06,2942.36,3001.56,96853451000,1.20492E+12
2011-06-30 00:00:00,2996.09,3058.63,2862.41,3044.09,1.00672E+11,1.2178E+12
2011-07-29 00:00:00,3052.12,3140.1,2948.08,2972.08,1.16371E+11,1.46434E+12
2011-08-31 00:00:00,2969.11,2991.05,2697.06,2846.78,1.08356E+11,1.24227E+12
2011-09-30 00:00:00,2852.39,2869.25,2572.19,2581.35,70228922500,7.54647E+11
2011-10-31 00:00:00,2588.35,2729.14,2500.49,2695.31,76267971700,7.54469E+11
2011-11-30 00:00:00,2672.51,2781.99,2507.18,2521.52,95390850700,1.00892E+12
2011-12-30 00:00:00,2596.15,2630.66,2267.11,2345.74,71362936100,6.77139E+11
2012-01-31 00:00:00,2361.5,2510.34,2254.57,2464.26,74277262400,7.37818E+11
2012-02-29 00:00:00,2458.23,2693.84,2423.45,2634.14,1.20771E+11,1.25058E+12
2012-03-30 00:00:00,2622.74,2705.75,2429.73,2454.9,1.23263E+11,1.37758E+12
2012-04-27 00:00:00,2449.21,2643.77,2441.27,2626.16,87020838100,9.28721E+11
2012-05-31 00:00:00,2660.67,2717.83,2545.34,2632.04,1.14069E+11,1.30516E+12
2012-06-29 00:00:00,2633.6,2653.86,2417.49,2461.61,75711619200,8.52508E+11
2012-07-31 00:00:00,2473.55,2490.55,2329.5,2332.92,82893580400,8.89567E+11
2012-08-31 00:00:00,2332.13,2413.42,2188.72,2204.87,76700498100,7.86791E+11
2012-09-28 00:00:00,2201.12,2341.52,2172.88,2293.11,90016977000,8.23537E+11
2012-10-31 00:00:00,2291.96,2347.9,2227.65,2254.82,68276631300,6.10385E+11
2012-11-30 00:00:00,2256.61,2318.23,2109.96,2139.66,70831020300,6.15121E+11
2012-12-31 00:00:00,2136.7,2522.95,2102.14,2522.95,1.42647E+11,1.30284E+12
2013-01-31 00:00:00,2551.81,2696.88,2473.7,2686.88,1.71845E+11,1.73928E+12
2013-02-28 00:00:00,2677.19,2791.3,2564.67,2673.33,1.2694E+11,1.32971E+12
2013-03-29 00:00:00,2671.84,2680.85,2482.49,2495.08,1.47862E+11,1.50894E+12
2013-04-26 00:00:00,2486.43,2542.45,2416.62,2447.31,94348532000,9.54281E+11
2013-05-31 00:00:00,2434.6,2661.23,2423.08,2606.43,1.43662E+11,1.49111E+12
2013-06-28 00:00:00,2605.97,2625.94,2023.17,2200.64,1.1065E+11,1.02167E+12
2013-07-31 00:00:00,2187.09,2351.22,2149.79,2193.02,1.499E+11,1.38705E+12
2013-08-30 00:00:00,2206,2423.08,2200.63,2313.91,1.58209E+11,1.47413E+12
2013-09-30 00:00:00,2319.96,2527.38,2297.45,2409.04,1.8588E+11,1.70131E+12
2013-10-31 00:00:00,2406.42,2483.13,2327.9,2373.72,1.50785E+11,1.41146E+12
2013-11-29 00:00:00,2373.96,2460.56,2279.01,2438.94,1.42807E+11,1.34856E+12
2013-12-31 00:00:00,2423.97,2486.64,2259.58,2330.03,1.34591E+11,1.28221E+12
2014-01-30 00:00:00,2323.43,2325.99,2156.46,2202.45,1.11873E+11,1.05975E+12
2014-02-28 00:00:00,2187.34,2331.7,2133.55,2178.97,1.35691E+11,1.26219E+12
2014-03-31 00:00:00,2173.91,2194.22,2077.76,2146.31,1.46197E+11,1.26403E+12
2014-04-30 00:00:00,2143.72,2290.74,2131.78,2158.66,1.30384E+11,1.17259E+12
2014-05-30 00:00:00,2152.59,2185.05,2096.51,2156.46,94277284100,8.00581E+11
2014-06-30 00:00:00,2157.64,2196.34,2117.31,2165.12,91931584900,8.18299E+11
2014-07-31 00:00:00,2169.2,2350.55,2134.8,2350.25,1.83761E+11,1.56801E+12
2014-08-29 00:00:00,2341.23,2380.77,2309.64,2338.29,2.0649E+11,1.81257E+12
2014-09-30 00:00:00,2340.93,2462.67,2338.53,2450.99,2.49498E+11,2.20833E+12
2014-10-31 00:00:00,2460.87,2512.19,2361.68,2508.33,2.3108E+11,1.95134E+12
2014-11-28 00:00:00,2515.82,2809.54,2482.98,2808.82,4.16076E+11,3.62774E+12
2014-12-31 00:00:00,2825.61,3542.34,2804.29,3533.71,9.24954E+11,1.0017E+13
2015-01-30 00:00:00,3566.09,3689.75,3325.68,3434.39,5.67362E+11,7.00394E+12
2015-02-27 00:00:00,3360.19,3594.81,3285.94,3572.84,2.8045E+11,3.48782E+12
2015-03-31 00:00:00,3603.45,4166.02,3417.49,4051.2,6.84358E+11,8.73348E+12
2015-04-30 00:00:00,4057.5,4839.08,4046.94,4749.89,9.55501E+11,1.35976E+13
2015-05-29 00:00:00,4757.64,5226.84,4445.59,4840.83,7.73452E+11,1.21107E+13
2015-06-30 00:00:00,4862.76,5380.43,4000.926,4472.998,9.4981E+11,1.43545E+13
2015-07-31 00:00:00,4408.984,4526.127,3537.826,3816.699,9.5277E+11,1.21665E+13
2015-08-31 00:00:00,3766.072,4113.159,2952.008,3366.536,5.3402E+11,6.54299E+12
2015-09-30 00:00:00,3296.529,3426.651,3131.37,3202.948,3.17354E+11,3.49377E+12
2015-10-30 00:00:00,3324.981,3620.756,3293.965,3534.079,3.04031E+11,3.72238E+12
2015-11-30 00:00:00,3489.225,3891.773,3452.62,3566.412,4.39433E+11,5.85258E+12
2015-12-31 00:00:00,3562.319,3926.686,3536.116,3731.005,3.35849E+11,4.53508E+12
2016-01-29 00:00:00,3725.856,3726.245,2839.29,2946.09,2.44999E+11,2.64719E+12
2016-02-29 00:00:00,2939.04,3128.207,2821.215,2877.467,1.70636E+11,1.68136E+12
2016-03-31 00:00:00,2881.335,3267.775,2863.323,3218.088,3.06358E+11,3.26846E+12
2016-04-29 00:00:00,3213.674,3296.523,3107.369,3156.745,2.06089E+11,2.25764E+12
2016-05-31 00:00:00,3159.823,3222.882,3027.444,3169.56,1.5856E+11,1.71946E+12
2016-06-30 00:00:00,3172.962,3201.749,3033.965,3153.921,1.68688E+11,2.04681E+12
2016-07-29 00:00:00,3156.932,3300.991,3134.023,3203.93,2.32116E+11,2.74671E+12
2016-08-31 00:00:00,3196.425,3418.688,3156.749,3327.794,2.37285E+11,2.76612E+12
2016-09-30 00:00:00,3326.739,3357.357,3214.441,3253.285,1.44094E+11,1.66016E+12
2016-10-31 00:00:00,3265.364,3382.826,3258.958,3336.278,1.48396E+11,1.52649E+12
2016-11-30 00:00:00,3338.71,3583.719,3322.08,3538.001,3.18675E+11,3.29012E+12
2016-12-30 00:00:00,3543.956,3575.97,3267.048,3310.081,2.53656E+11,2.64858E+12
