Date,PMI
2005-01-31 00:00:00,54.7
2005-02-28 00:00:00,54.5
2005-03-31 00:00:00,57.9
2005-04-30 00:00:00,56.7
2005-05-31 00:00:00,52.9
2005-06-30 00:00:00,51.7
2005-07-31 00:00:00,51.1
2005-08-31 00:00:00,52.6
2005-09-30 00:00:00,55.1
2005-10-31 00:00:00,54.1
2005-11-30 00:00:00,54.1
2005-12-31 00:00:00,54.3
2006-01-31 00:00:00,52.1
2006-02-28 00:00:00,52.1
2006-03-31 00:00:00,55.3
2006-04-30 00:00:00,58.1
2006-05-31 00:00:00,54.8
2006-06-30 00:00:00,54.1
2006-07-31 00:00:00,52.4
2006-08-31 00:00:00,53.1
2006-09-30 00:00:00,57
2006-10-31 00:00:00,54.7
2006-11-30 00:00:00,55.3
2006-12-31 00:00:00,54.8
2007-01-31 00:00:00,55.1
2007-02-28 00:00:00,53.1
2007-03-31 00:00:00,56.1
2007-04-30 00:00:00,58.6
2007-05-31 00:00:00,55.7
2007-06-30 00:00:00,54.5
2007-07-31 00:00:00,53.3
2007-08-31 00:00:00,54
2007-09-30 00:00:00,56.1
2007-10-31 00:00:00,53.2
2007-11-30 00:00:00,55.4
2007-12-31 00:00:00,55.3
2008-01-31 00:00:00,53
2008-02-29 00:00:00,53.4
2008-03-31 00:00:00,58.4
2008-04-30 00:00:00,59.2
2008-05-31 00:00:00,53.3
2008-06-30 00:00:00,52
2008-07-31 00:00:00,48.4
2008-08-31 00:00:00,48.4
2008-09-30 00:00:00,51.2
2008-10-31 00:00:00,44.6
2008-11-30 00:00:00,38.8
2008-12-31 00:00:00,41.2
2009-01-31 00:00:00,45.3
2009-02-28 00:00:00,49
2009-03-31 00:00:00,52.4
2009-04-30 00:00:00,53.5
2009-05-31 00:00:00,53.1
2009-06-30 00:00:00,53.2
2009-07-31 00:00:00,53.3
2009-08-31 00:00:00,54
2009-09-30 00:00:00,54.3
2009-10-31 00:00:00,55.2
2009-11-30 00:00:00,55.2
2009-12-31 00:00:00,56.6
2010-01-31 00:00:00,55.8
2010-02-28 00:00:00,52
2010-03-31 00:00:00,55.1
2010-04-30 00:00:00,55.7
2010-05-31 00:00:00,53.9
2010-06-30 00:00:00,52.1
2010-07-31 00:00:00,51.2
2010-08-31 00:00:00,51.7
2010-09-30 00:00:00,53.8
2010-10-31 00:00:00,54.7
2010-11-30 00:00:00,55.2
2010-12-31 00:00:00,53.9
2011-01-31 00:00:00,52.9
2011-02-28 00:00:00,52.2
2011-03-31 00:00:00,53.4
2011-04-30 00:00:00,52.9
2011-05-31 00:00:00,52
2011-06-30 00:00:00,50.9
2011-07-31 00:00:00,50.7
2011-08-31 00:00:00,50.9
2011-09-30 00:00:00,51.2
2011-10-31 00:00:00,50.4
2011-11-30 00:00:00,49
2011-12-31 00:00:00,50.3
2012-01-31 00:00:00,50.5
2012-02-29 00:00:00,51
2012-03-31 00:00:00,53.1
2012-04-30 00:00:00,53.3
2012-05-31 00:00:00,50.4
2012-06-30 00:00:00,50.2
2012-07-31 00:00:00,50.1
2012-08-31 00:00:00,49.2
2012-09-30 00:00:00,49.8
2012-10-31 00:00:00,50.2
2012-11-30 00:00:00,50.6
2012-12-31 00:00:00,50.6
2013-01-31 00:00:00,50.4
2013-02-28 00:00:00,50.1
2013-03-31 00:00:00,50.9
2013-04-30 00:00:00,50.6
